w_time_s	WL_set	Mon	Brewer	BrewerDark	Brewer_dk	NLK	Brewer_dk_NL	BrewNL_Mon	Brewermicrom	Peak_steps	FWHM_steps	slit	mwl
3536882087	325.00052574369	8.608098e-07	41021	342	10169.75	1.6789892263284	17074.900684453	19835857682.444	4890	4882.3128890259	80.760269655825	2	325.07111203838
3536882094	325.00052574369	8.672177e-07	42169	342	10456.75	1.6902756796786	17674.790213479	20381030292.024	4885	4882.3128890259	80.760269655825	2	325.036811977155
3536882101	325.00052574369	8.673828e-07	42308	342	10491.5	1.6916540413621	17747.988374951	20461540596.552	4880	4882.3128890259	80.760269655825	2	325.00250808832
3536882108	325.00052574369	8.727826e-07	41713	342	10342.75	1.6857737042821	17435.535979964	19976951854.865	4875	4882.3128890259	80.760269655825	2	324.968200371875
3536882115	325.00052574369	8.593858e-07	38259	342	9479.25	1.6521914071313	15661.535396049	18224103069.947	4870	4882.3128890259	80.760269655825	2	324.93388882782
3536882123	325.00052574369	8.691795e-07	35680	342	8834.5	1.6273298324363	14376.645404658	16540479158.399	4865	4882.3128890259	80.760269655825	2	324.899573456155
3536882130	325.00052574369	8.658829e-07	32752	342	8102.5	1.5997064580299	12961.621576187	14969254591.109	4860	4882.3128890259	80.760269655825	2	324.86525425688
3536882137	325.00052574369	8.629548e-07	30228	342	7471.5	1.5771405878448	11783.605902082	13654951455.258	4855	4882.3128890259	80.760269655825	2	324.830931229995
3536882144	325.00052574369	8.662476e-07	27336	342	6748.5	1.553007669067	10480.472254698	12098702789.709	4850	4882.3128890259	80.760269655825	2	324.7966043755
3536882151	325.00052574369	8.581848e-07	25159	342	6204.25	1.5352413402624	9525.0210853229	11099032615.496	4845	4882.3128890259	80.760269655825	2	324.762273693395
3536882158	325.00052574369	8.566852e-07	22705	342	5590.75	1.5134641802574	8461.3998657742	9876906786.5001	4840	4882.3128890259	80.760269655825	2	324.72793918368
3536882165	325.00052574369	8.54725e-07	20243	342	4975.25	1.4865356264086	7395.8863752893	8652942613.4597	4835	4882.3128890259	80.760269655825	2	324.693600846355
3536882172	325.00052574369	8.643108e-07	17317	342	4243.75	1.4432416760661	6124.7568628055	7086289865.6426	4830	4882.3128890259	80.760269655825	2	324.65925868142
