date_matlab year month day hour min seg Solar_Zenith_angle(º) Total_Column_O3total(E18mole/cm-2) 
736600.337800 2016.000000 9.000000 27.000000 8.000000 6.000000 25.919998 75.647003 7.259300 
736600.355690 2016.000000 9.000000 27.000000 8.000000 32.000000 11.615997 70.098000 7.271000 
736600.373590 2016.000000 9.000000 27.000000 8.000000 57.000000 58.176003 64.632004 7.269200 
736600.391500 2016.000000 9.000000 27.000000 9.000000 23.000000 45.599998 59.273998 7.260200 
736600.409390 2016.000000 9.000000 27.000000 9.000000 49.000000 31.295998 54.081001 7.261900 
736600.427270 2016.000000 9.000000 27.000000 10.000000 15.000000 16.127998 49.098999 7.266600 
736600.445690 2016.000000 9.000000 27.000000 10.000000 41.000000 47.615997 44.269001 7.279900 
736600.491640 2016.000000 9.000000 27.000000 11.000000 47.000000 57.695999 34.428001 7.302200 
736600.641880 2016.000000 9.000000 27.000000 15.000000 24.000000 18.431999 46.571999 7.373800 
736600.648750 2016.000000 9.000000 27.000000 15.000000 34.000000 12.000000 48.397999 7.377600 
736600.655630 2016.000000 9.000000 27.000000 15.000000 44.000000 6.431999 50.269001 7.389500 
736600.662490 2016.000000 9.000000 27.000000 15.000000 53.000000 59.136002 52.175999 7.393000 
736600.669360 2016.000000 9.000000 27.000000 16.000000 3.000000 52.704002 54.120998 7.400200 
736600.676240 2016.000000 9.000000 27.000000 16.000000 13.000000 47.136002 56.098000 7.393600 
736600.683110 2016.000000 9.000000 27.000000 16.000000 23.000000 40.704002 58.101002 7.395200 
736600.689990 2016.000000 9.000000 27.000000 16.000000 33.000000 35.136002 60.130001 7.398000 
736600.718910 2016.000000 9.000000 27.000000 17.000000 15.000000 13.823997 68.874001 7.383200 
736600.725790 2016.000000 9.000000 27.000000 17.000000 25.000000 8.255997 70.991997 7.385600 
736600.732660 2016.000000 9.000000 27.000000 17.000000 35.000000 1.823997 73.122002 7.380600 
736600.739530 2016.000000 9.000000 27.000000 17.000000 44.000000 55.391998 75.258003 7.389100 
736600.746400 2016.000000 9.000000 27.000000 17.000000 54.000000 48.959999 77.405998 7.373400 
736601.398910 2016.000000 9.000000 28.000000 9.000000 34.000000 25.823997 57.262001 7.716200 
736601.405790 2016.000000 9.000000 28.000000 9.000000 44.000000 20.255997 55.278999 7.731200 
736601.412660 2016.000000 9.000000 28.000000 9.000000 54.000000 13.823997 53.326000 7.755100 
736601.419540 2016.000000 9.000000 28.000000 10.000000 4.000000 8.255997 51.405998 7.777800 
736601.426420 2016.000000 9.000000 28.000000 10.000000 14.000000 2.688004 49.521000 7.787300 
736601.433300 2016.000000 9.000000 28.000000 10.000000 23.000000 57.120003 47.681000 7.806400 
736601.440170 2016.000000 9.000000 28.000000 10.000000 33.000000 50.688004 45.889000 7.824900 
736601.447040 2016.000000 9.000000 28.000000 10.000000 43.000000 44.255997 44.153999 7.839700 
736601.453920 2016.000000 9.000000 28.000000 10.000000 53.000000 38.688004 42.473000 7.857400 
736601.460800 2016.000000 9.000000 28.000000 11.000000 3.000000 33.120003 40.863998 7.865900 
736601.474550 2016.000000 9.000000 28.000000 11.000000 23.000000 21.120003 37.886002 7.890600 
736601.481430 2016.000000 9.000000 28.000000 11.000000 33.000000 15.552002 36.535000 7.902700 
736601.488310 2016.000000 9.000000 28.000000 11.000000 43.000000 9.984001 35.294998 7.914000 
736601.495170 2016.000000 9.000000 28.000000 11.000000 53.000000 2.688004 34.175999 7.923500 
736601.502060 2016.000000 9.000000 28.000000 12.000000 2.000000 57.984001 33.187000 7.936500 
736601.508930 2016.000000 9.000000 28.000000 12.000000 12.000000 51.552002 32.344002 7.932100 
736601.515810 2016.000000 9.000000 28.000000 12.000000 22.000000 45.984001 31.657000 7.934300 
736601.522670 2016.000000 9.000000 28.000000 12.000000 32.000000 38.688004 31.139000 7.935500 
736601.529550 2016.000000 9.000000 28.000000 12.000000 42.000000 33.120003 30.794001 7.929500 
736601.536450 2016.000000 9.000000 28.000000 12.000000 52.000000 29.279999 30.629999 7.947300 
736601.543310 2016.000000 9.000000 28.000000 13.000000 2.000000 21.984001 30.652000 7.948000 
736601.550190 2016.000000 9.000000 28.000000 13.000000 12.000000 16.416000 30.857000 7.957400 
736601.557060 2016.000000 9.000000 28.000000 13.000000 22.000000 9.984001 31.242001 7.954700 
