FTIR_setup date(yymmdd) time(hhmmss) juldayhm(ftir) date_matlab RMS/maximum_intensity White_signal-to-noise RMS_residues_fit iterations_convergence Solar_elevation_angle(º) DOFH2O DOFO348 DOFO350a DOFO350s DOFO349a DOFO349s Total_Column_H2O(molec/m2) Total_Column_O3total(molec/m2) Total_Column_O348(molec/m2) Total_Column_O350a(molec/m2) Total_Column_O350s(molec/m2) TC_O349a(molec/m2) Total_Column_O349s(molec/m2) 
O3_iTY_1 160920 092327 6472.391 736593.391285 0.002689 615.218040 6173.226000 6.000000 31.699253 1.000000 4.090000 1.145000 1.208000 0.122100 0.176800 1.12830e+026 7.43166e+022 7.42450e+022 8.58490e+022 8.29150e+022 8.31040e+022 8.16170e+022 
O3_iTY_1 160920 093321 6472.398 736593.398160 0.002619 630.606959 6012.319000 6.000000 33.757317 1.000000 4.102000 1.135000 1.193000 0.118200 0.171000 8.80360e+025 7.42484e+022 7.41760e+022 8.59800e+022 8.27990e+022 8.31770e+022 8.15980e+022 
O3_iTY_1 160920 094314 6472.405 736593.405023 0.002621 673.354226 6015.258000 6.000000 35.790171 1.000000 4.092000 1.112000 1.168000 0.110500 0.160600 7.83440e+025 7.44572e+022 7.43860e+022 8.58770e+022 8.29710e+022 8.35180e+022 8.19770e+022 
O3_iTY_1 160920 095306 6472.412 736593.411875 0.002550 736.758466 5845.798000 6.000000 37.794950 1.000000 4.112000 1.104000 1.160000 0.107400 0.156400 7.86610e+025 7.43887e+022 7.43180e+022 8.57070e+022 8.30200e+022 8.31460e+022 8.16590e+022 
O3_iTY_1 160920 100301 6472.419 736593.418762 0.002492 715.876016 5717.190000 6.000000 39.782541 1.000000 4.121000 1.099000 1.153000 0.103800 0.152400 7.42230e+025 7.43010e+022 7.42290e+022 8.59040e+022 8.30320e+022 8.28970e+022 8.16950e+022 
O3_iTY_1 160920 102246 6472.432 736593.432477 0.002440 779.585758 5561.702000 6.000000 43.641985 1.000000 4.118000 1.077000 1.128000 0.097530 0.142700 7.40230e+025 7.44056e+022 7.43350e+022 8.56800e+022 8.30110e+022 8.31990e+022 8.18200e+022 
O3_iTY_1 160920 103240 6472.439 736593.439352 0.002444 720.588213 5585.876000 6.000000 45.517849 1.000000 4.102000 1.064000 1.113000 0.091160 0.134200 8.40930e+025 7.41676e+022 7.40940e+022 8.59530e+022 8.33260e+022 8.27530e+022 8.15240e+022 
O3_iTY_1 160920 104233 6472.446 736593.446215 0.002406 757.925413 5488.491000 6.000000 47.343865 1.000000 4.110000 1.058000 1.104000 0.090160 0.131300 9.18620e+025 7.43829e+022 7.43110e+022 8.60390e+022 8.30040e+022 8.30370e+022 8.13430e+022 
O3_iTY_1 160920 110219 6472.460 736593.459942 0.002361 695.755709 5337.517000 6.000000 50.828594 1.000000 4.112000 1.045000 1.093000 0.085320 0.124700 1.09510e+026 7.42440e+022 7.41710e+022 8.58380e+022 8.35210e+022 8.29210e+022 8.13640e+022 
O3_iTY_1 160920 111212 6472.467 736593.466806 0.002351 746.632788 5340.092000 6.000000 52.471264 1.000000 4.107000 1.040000 1.086000 0.082340 0.122500 8.24690e+025 7.44455e+022 7.43710e+022 8.63740e+022 8.38860e+022 8.27460e+022 8.17340e+022 
